WigleWifi-1.4,appRelease=2.25,model=LG-D722,release=5.0.2,device=jagnm,display=LRX22G.A1442060254,board=MSM8226,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
24:c9:a1:35:a6:48,Ariel_University,[ESS],2017-11-02 20:03:30,6,-87,32.10393236,35.20518173,647,15,WIFI
8c:0c:90:2f:76:c8,Ariel_University,[ESS],2017-11-02 20:03:30,6,-88,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:58:78,Ariel_University,[ESS],2017-11-02 20:03:30,11,-92,32.10393236,35.20518173,647,15,WIFI
1c:b9:c4:16:cc:a8,Ariel_University,[ESS],2017-11-02 20:03:30,6,-85,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:55:f8,Ariel_University,[ESS],2017-11-02 20:03:30,11,-92,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:33:3d:08,Ariel_University,[ESS],2017-11-02 20:03:30,6,-81,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-11-02 20:03:30,1,-95,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2017-11-02 20:03:30,11,-95,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:33:38:38,Ariel_University,[ESS],2017-11-02 20:03:30,1,-91,32.10393236,35.20518173,647,15,WIFI
24:c9:a1:36:51:b8,Ariel_University,[ESS],2017-11-02 20:04:22,2,-70,32.1041068,35.2053136,659,20,WIFI
24:c9:a1:35:a6:98,Ariel_University,[ESS],2017-11-02 20:04:22,6,-78,32.1041068,35.2053136,659,20,WIFI
24:c9:a1:36:2f:38,Ariel_University,[ESS],2017-11-02 20:04:22,1,-90,32.1041068,35.2053136,659,20,WIFI
74:da:38:13:f4:8a,tatalex666_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 20:04:22,1,-100,32.1041068,35.2053136,659,20,WIFI
8c:0c:90:01:38:08,Ariel_University,[ESS],2017-11-02 20:04:22,6,-87,32.1041068,35.2053136,659,20,WIFI
24:c9:a1:33:34:68,Ariel_University,[ESS],2017-11-02 20:04:22,11,-67,32.1041068,35.2053136,659,20,WIFI
24:c9:a1:76:5c:73,island-365C70,[WPA2-PSK-CCMP][ESS],2017-11-02 20:04:49,11,-79,32.10453475,35.20540174,656,20,WIFI
74:da:38:13:f4:8a,tatalex666_2EX,[WPA2-PSK-CCMP][WPS][ESS],2017-11-02 20:04:49,1,-89,32.10453475,35.20540174,656,20,WIFI
a0:4f:d4:2b:11:c1,israela_2.4,[WPA2-PSK-CCMP][ESS],2017-11-02 20:04:49,1,-88,32.10453475,35.20540174,656,20,WIFI
8c:0c:90:2f:2b:98,Ariel_University,[ESS],2017-11-02 20:04:49,6,-86,32.10453475,35.20540174,656,20,WIFI
8c:0c:90:2f:cc:38,Ariel_University,[ESS],2017-11-02 20:04:49,11,-79,32.10453475,35.20540174,656,20,WIFI
f0:b0:52:3e:ce:38,Ariel_University,[ESS],2017-11-02 20:04:49,1,-92,32.10453475,35.20540174,656,20,WIFI
8c:0c:90:2f:35:38,Ariel_University,[ESS],2017-11-02 20:04:49,6,-84,32.10453475,35.20540174,656,20,WIFI
24:c9:a1:35:d3:68,Ariel_University,[ESS],2017-11-02 20:04:49,11,-94,32.10453475,35.20540174,656,20,WIFI
24:c9:a1:35:d3:68,Ariel_University,[ESS],2017-11-02 20:04:49,11,-82,32.10453475,35.20540174,656,20,WIFI
24:c9:a1:75:e7:e3,island-35E7E0,[WPA2-PSK-CCMP][ESS],2017-11-02 20:04:49,11,-79,32.10453475,35.20540174,656,20,WIFI
8c:0c:90:2e:d4:58,Ariel_University,[ESS],2017-11-02 20:04:49,6,-80,32.10453475,35.20540174,656,20,WIFI
